Cruise_Start_Date,Incident_Category,Incident_Subcategory,Room_Number,Guest_Type,Status,Department,Reference_Id,Added_Date,Description
2/7/2024,Room ,Room Safe,10026P,Regular Guest,Closed-Resolved,Housekeeping,SC-35177457176693306,2/7/2024 14:12,Room Safe
2/7/2024,Experience Packages ,Missing Amenitites,10058S,Regular Guest,Closed-Resolved,Guest Services,SC-32484599323680621,2/7/2024 14:14,02/07/24 @14:10 GSA Barbara: Guest  came to SS saying they booked the SOR but at the terminal they were told the package sold out and theirs was cancelled and refunded. Guest  doesnt see the refund
2/7/2024,Room ,Shower / Plumbing,9120P,Regular Guest,Closed-Resolved,Housekeeping,SC-35180049985313968,2/7/2024 14:19,Shower / Plumbing
2/7/2024,Room ,Room Safe,5284i,Regular Guest,Closed-Resolved,Housekeeping,SC-35180463006213829,2/7/2024 14:22,Room Safe
2/7/2024,Room ,Room Safe,10350S,Regular Guest,Closed-Resolved,Housekeeping,SC-35181333864739202,2/7/2024 14:36,Room Safe
2/7/2024,Experience Packages ,Missing Amenitites,9318P,Regular Guest,Closed-Resolved,Guest Services,SC-35182259176131558,2/7/2024 14:45,02/07/24 @14;44 GSA Barbara: guest had the SOR but was not on the list. Refund on Seawear is OK from 01/19 but Guest  never received it
2/7/2024,Experience Packages ,Missing Amenitites,8370P,Regular Guest,Closed-Resolved,Guest Services,SC-35186541358327085,2/7/2024 14:56,"GSA Virgil 2:55PM 2.7- 8370A- BK1063987 - guest is claiming that they should have splash of romance and $300 BT- I can see on seawear that the is a refunds pending for this amount, can you please confirm that this was refunded? Is it possible to reinstate it? This message was sent to solutions"
2/7/2024,Room ,Shower / Plumbing,9046P,Regular Guest,Closed-Resolved,Housekeeping,SC-32487369737995686,2/7/2024 15:00,Shower / Plumbing
2/7/2024,Account/Billing ,Bar Credit,12322S,Regular Guest,Closed-Resolved,Guest Services,SC-35188989873891401,2/7/2024 15:01,02/07/24 @14:58 GSA Barbara: Guest  came to SS saying she purchased the 300$ BT however she didnt know there is a 300$ promo BT on her booking already. Guest  would like to know if the BT could be refunded or swapped to SL.
2/7/2024,Room ,Minor Maint Issue,12358S,Regular Guest,Closed-Resolved,Housekeeping,SC-35188576672868455,2/7/2024 15:04,Guest  claimed that he found hair on the bathroom and stain on the sheet
2/7/2024,Account/Billing ,Onboard Credit Not Applied,11182i,Regular Guest,Closed-Resolved,Guest Services,SC-35183249216043160,2/7/2024 15:08,2/7/24 03:07PM GSA VB: Guest  approached SS stating  he filled out access key form however the credit never showed up on guest`s account. Nothing on sea ware or VR. Guest  also stated he is a sea blazer and he sailed with us since the first ship has been launched.GSA advised guest the case will be documented.
2/7/2024,Special Request ,Other,10370P,Regular Guest,Closed-Resolved,Guest Services,SC-35188962881698787,2/7/2024 15:10,2/7/24 3:08pm - GSA / Guest  10370A requested to have access to her mom room ( 11234M Loretta) same for grandson Room 11240M. Guest s mentioned they want to keep on eye because her age. GSA listened carefully and mentioned we need to verify this with supervisor 
2/7/2024,Room ,Survey,10074S,Regular Guest,Closed-Resolved,Housekeeping,SC-34472593792209445,2/7/2024 15:45,"02/07/24 @15;45 GSA Barbara Guest  came to SS showing a photo of several medication in small pieces on the bedside table in their room. Guest  says room was unclean, they were shocked to see it, and would like to change rooms"
2/7/2024,Room ,Minor Maint Issue,5226S,Regular Guest,Closed-Resolved,Guest Services,SC-35189947706242271,2/7/2024 15:47,Guest  was assigned a room on deck 5 - 5222Z 02/06/24 at 6 PM however the room was occupied by a crew member and the double occupancy was noticed at 1 PM on embarkation day 02/07/24
2/7/2024,Account/Billing ,Onboard Credit Not Applied,10022S,Regular Guest,Closed-Resolved,Guest Services,SC-34472733910318484,2/7/2024 15:48,2/7/24 3:47 PM GSA VB: Guest s approached SS  stating they are sea blazers however i do not see any credits  being applied on their accounts. GSA advised guests the case will be documented.
2/7/2024,Room ,Room Safe,13190S,Regular Guest,Closed-Resolved,Housekeeping,SC-35183518699709445,2/7/2024 15:53,Room Safe
2/7/2024,Room ,Room Safe,14126S,Regular Guest,Closed-Resolved,Housekeeping,SC-34473641055740079,2/7/2024 16:03,Room Safe
2/7/2024,Special Request ,Other,15339S,VIP1,Closed-Resolved,Guest Services,SC-32491144962070231,2/7/2024 16:03,"02/07/24 15:47 GRM: Group Leader Tammy, guest approached SS to request to provide an access from her Suite to her daughter Allison Whiting 8204M since her Mega Rockstar agent advise her to requested at SS. GRM provide the access key and advise MRM of the same"
