Voyage_Start_Date,Incident_Category,Incident_Subcategory,Room_Number,Guest_Type,Status,Department,Reference_Id,Added_Date,Description,Latest_Comment,Resolution_Details
2/7/2024,Cabin ,Cabin Safe,10026A,Regular Guest,Closed-Resolved,Housekeeping,SC-35177457176693306,2/7/24 2:12 PM,Cabin Safe,"2/7/2024 DM Nestor
DM opened a safe for sailors",DM opened a safe for sailors
2/7/2024,Experience Packages ,Did Not receive Perk,10058Z,Regular Guest,Closed-Resolved,Sailor Services,SC-32484599323680621,2/7/24 2:14 PM,02/07/24 @14:10 HDA Barbara: Sailor came to SS saying they booked the SOR but at the terminal they were told the package sold out and theirs was cancelled and refunded. Sailor doesnt see the refund,@22:22 Sailors have two Thermal Passes booked for the sea day on their account. HDA sent email to Spa to move the charges to 9024 SR account.,02/07/24 @14:00 HDA Barbara: WM moved the two Thermal Suite pass charges to SR. Nothing further unless sailor approaches
2/7/2024,Cabin ,Shower or Sink,9120A,Regular Guest,Closed-Resolved,Housekeeping,SC-35180049985313968,2/7/24 2:19 PM,Shower or Sink,"2/7/2024.5.25pm.DM Herwandi : CH Checked the shower and sink, they are fine.","2/7/2024.5.25pm.DM Herwandi : CH Checked the shower and sink, they are fine."
2/7/2024,Cabin ,Cabin Safe,5284M,Regular Guest,Closed-Resolved,Housekeeping,SC-35180463006213829,2/7/24 2:22 PM,Cabin Safe,,aims created and was fixed already
2/7/2024,Cabin ,Cabin Safe,10350Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35181333864739202,2/7/24 2:36 PM,Cabin Safe,"2/7/2024 DM Nestor
DM opened a safe for sailors",DM opened a safe for sailors
2/7/2024,Experience Packages ,Did Not receive Perk,9318A,Regular Guest,Closed-Resolved,Sailor Services,SC-35182259176131558,2/7/24 2:45 PM,02/07/24 @14;44 HDA Barbara: sailor had the SOR but was not on the list. Refund on Seawear is OK from 01/19 but Sailor never received it,2/8/24 9:48 AM HDA VB: HDA offered to sailor solution letter for further assistance/sailor accepted,02/07/24 @23:24 HDA Barbara: HDA sent message to Sailor according to Solutions answer. Nothing further unless sailor approaches.
2/7/2024,Experience Packages ,Did Not receive Perk,8370A,Regular Guest,Closed-Resolved,Sailor Services,SC-35186541358327085,2/7/24 2:56 PM,"HDA Virgil 2:55PM 2.7- 8370A- BK1063987 - sailor is claiming that they should have splash of romance and $300 BT- I can see on seawear that the is a refunds pending for this amount, can you please confirm that this was refunded? Is it possible to reinstate it? This message was sent to solutions",HDA Virgil 9:40PM- SPA responded that spa is reserved for both sailors at 8PM on the 9th of feb. SQ message sent to sailor informing them.,HDA Virgil 9:40PM- SPA responded that spa is reserved for both sailors at 8PM on the 9th of feb. SQ message sent to sailor informing them. Case is closed unless sailor escalates
2/7/2024,Cabin ,Shower or Sink,9046A,Regular Guest,Closed-Resolved,Housekeeping,SC-32487369737995686,2/7/24 3:00 PM,Shower or Sink,"2/7/2024. 5.04pm.DM Herwandi : Ch checked the cabin , shower and sink working fine.","2/7/2024. 5.04pm.DM Herwandi : Ch checked the cabin , shower and sink working fine."
2/7/2024,Account/Billing ,Bar Loot,12322Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35188989873891401,2/7/24 3:01 PM,02/07/24 @14:58 HDA Barbara: Sailor came to SS saying she purchased the 300$ BT however she didnt know there is a 300$ promo BT on her booking already. Sailor would like to know if the BT could be refunded or swapped to SL.,02/08/24 @16:45 HDA Barbara: Called sailor however there was no answer. Sent message to Sailor to inform her about the swap.,02/08/24 @16:45 HDA Barbara: Called sailor however there was no answer. Sent message to Sailor to inform her about the swap.
2/7/2024,Cabin ,Minor Maint Issue,12358Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35188576672868455,2/7/24 3:04 PM,Sailor claimed that he found hair on the bathroom and stain on the sheet,DM met the sailors and apologized one more time and sailor is fine .,DM met the sailors and apologized one more time and sailor is fine .
